symbol,name,price,change,pct_change,volume
FTFT,FTFT,8.04,5.16,179.17,120655637
BBLGW,BBLGW,9.03,4.93,120.24,3135
ASTLW,ASTLW,0.01,0.01,104.17,135740
RVSNW,RVSNW,0.02,0.01,93.65,11097
DUKRW,DUKRW,1.39,0.59,73.73,1225
NCT,NCT,0.5,0.2,66.83,212945481
SLND+,SLND+,0.02,0.01,64.66,14911
BMGL,BMGL,7.14,2.35,49.06,31519056
FLDDW,FLDDW,0.08,0.03,47.86,208
SCNI,SCNI,2.44,0.78,46.99,40444456
VEEA,VEEA,2.29,0.73,46.79,4790849
VNCE,VNCE,7.65,2.41,45.99,3639692
EDBLW,EDBLW,0.06,0.02,43.5,331
GRABW,GRABW,0.03,0.01,40.59,76477
JSPRW,JSPRW,0.01,0.0,40.35,12443
BIVIW,BIVIW,0.47,0.14,39.71,549226
GENVR,GENVR,5.9,1.56,35.94,255355
GTBP,GTBP,11.63,3.02,35.08,515799
PDSB,PDSB,0.4,0.1,34.79,64493495
GFAIW,GFAIW,0.02,0.01,33.56,17026
