symbol,name,price,change,volume
NCT,NCT,0.5,0.2,212945481
UZX,UZX,0.1,0.01,192254219
SOAR,SOAR,0.23,0.04,162222088
NVDA,NVDA,210.96,-7.33,130248257
NOK,NOK,9.65,-1.48,124444784
FTFT,FTFT,8.04,5.16,120655637
LHSW,LHSW,0.62,0.14,118083854
SOXL,SOXL,101.17,-20.65,99010297
INTC,INTC,97.19,-5.75,94191698
CTNT,CTNT,0.15,-1.01,90059333
BITO,BITO,10.62,0.25,85770046
ONDS,ONDS,7.23,0.0,84041118
NVD,NVD,4.26,0.27,81992091
AAL,AAL,13.1,0.09,79693521
ADBT,ADBT,0.1,-0.14,74837020
SPCX,SPCX,148.15,-3.06,67325066
PDSB,PDSB,0.4,0.1,64493495
SOXS,SOXS,51.71,7.57,61543187
BAC,BAC,59.47,-3.23,60761136
PATH,PATH,14.66,0.91,60425802
