symbol,name,price,change,volume
RITR,RITR,0.34,0.28,1496138716
MGN,MGN,0.14,0.06,912186389
YYAI,YYAI,0.12,0.0,472474330
SXTC,SXTC,0.08,0.02,425843031
ZBAO,ZBAO,0.26,0.06,207352145
HYFM,HYFM,2.15,1.61,141714766
SQQQ,SQQQ,41.43,-2.3,137970669
NVDA,NVDA,206.64,5.89,127556026
SNXX,SNXX,10.46,1.12,112643090
EZRA,EZRA,2.65,0.83,108117340
BITO,BITO,8.63,0.12,99612567
TSLL,TSLL,7.81,0.5,97025316
MSTU,MSTU,1.81,0.05,93713663
INTC,INTC,91.0,0.8,93462300
AMZN,AMZN,284.02,12.44,88999419
SOFI,SOFI,18.03,1.72,83321857
VSEE,VSEE,0.09,0.01,83080887
SOXL,SOXL,116.63,1.91,78901854
SNAP,SNAP,5.05,0.36,75835995
AAPL,AAPL,303.42,-5.49,72034573
