symbol,name,price,change,volume
GPRO,GPRO,1.23,0.35,491162171
PCG,PCG,14.05,0.79,144298160
LIDR,LIDR,1.47,0.32,128174773
NVDA,NVDA,217.44,-3.34,106735671
TSLL,TSLL,9.33,-0.64,92337891
HKPD,HKPD,0.18,-0.15,92137592
NVD,NVD,4.05,0.12,91729537
RITR,RITR,0.09,-0.0,84513979
NIO,NIO,4.05,-0.17,80699659
FLYE,FLYE,2.2,0.84,76337485
INTC,INTC,88.97,-0.54,73239308
ONDS,ONDS,7.04,-0.61,67837518
NU,NU,14.46,-0.1,67465842
BITO,BITO,10.39,-0.22,67011490
SNXX,SNXX,13.71,-0.67,65751550
RZLV,RZLV,2.39,-0.5,64157806
PATH,PATH,18.16,-0.52,63299070
AAL,AAL,12.95,-0.48,62976456
SOXL,SOXL,105.78,-7.01,62848964
NOK,NOK,9.93,-0.21,61080718
