symbol,name,price,change,pct_change,volume
ALMS,ALMS,9.47,-12.34,-56.58,28230847
PMI,PMI,3.83,-4.63,-54.73,1531365
RCKTW,RCKTW,0.0,-0.0,-50.0,438538
DAICW,DAICW,0.01,-0.01,-46.31,321435
HKPD,HKPD,0.18,-0.15,-45.54,92137592
CUBWW,CUBWW,0.19,-0.14,-42.42,295398
GIPRW,GIPRW,0.01,-0.01,-37.96,52830
BFRGW,BFRGW,0.08,-0.04,-37.42,481
SPWRW,SPWRW,0.07,-0.04,-36.0,11100
VWAVW,VWAVW,0.07,-0.03,-34.9,44220
SBXD+,SBXD+,0.09,-0.04,-34.13,80548
GCLWW,GCLWW,0.02,-0.01,-33.33,13469
BEBE+,BEBE+,0.17,-0.08,-31.89,38454
KIDZW,KIDZW,0.01,-0.0,-31.09,136487
MRNOW,MRNOW,0.01,-0.0,-29.35,21730
SKYH+,SKYH+,0.25,-0.1,-28.26,12388
BZFDW,BZFDW,0.01,-0.0,-26.29,369745
VWAV,VWAV,0.61,-0.22,-26.07,2953144
LHSW,LHSW,2.88,-1.01,-25.96,472176
FGIWW,FGIWW,0.04,-0.01,-24.67,100
