symbol,name,price,change,volume
ENSC,ENSC,0.52,0.16,492555115
SURG,SURG,0.33,0.1,268962444
CELZ,CELZ,1.15,0.48,261427217
SPCX,SPCX,114.92,6.65,252584999
GAUZ,GAUZ,0.42,0.17,230537701
ONFO,ONFO,0.06,-0.01,225478831
SNXX,SNXX,9.81,-1.57,139667552
HTZ,HTZ,2.02,0.46,129358676
MSTU,MSTU,1.88,-0.05,122290323
NVDA,NVDA,218.99,-0.23,113058299
UWMC,UWMC,1.19,-0.66,110555974
SOUN,SOUN,7.08,0.65,88363923
TSLL,TSLL,7.68,-0.09,85415158
INTC,INTC,99.81,-1.25,77178397
IOVA,IOVA,6.21,1.87,72975158
PATH,PATH,14.0,0.18,72305530
BYND,BYND,0.53,-0.08,71376293
NVD,NVD,4.16,0.01,69587071
SOXS,SOXS,44.83,-0.25,69514029
AZI,AZI,1.6,0.59,69456998
