symbol,name,price,change,pct_change,volume
XHLD,XHLD,2.81,2.01,252.57,62508966
WYHG,WYHG,9.83,6.48,193.43,56818324
CLRO,CLRO,9.8,6.12,166.3,63897220
ENGNW,ENGNW,0.5,0.3,145.64,800
AMEM,AMEM,53.0,28.48,116.15,1357
NVNIW,NVNIW,0.04,0.02,105.26,1800
ACONW,ACONW,0.05,0.03,102.45,26325
SPWRW,SPWRW,0.06,0.03,88.7,231936
HUBCZ,HUBCZ,0.02,0.01,80.0,10133
GDEVW,GDEVW,0.0,0.0,80.0,63632
BRLSW,BRLSW,0.04,0.02,74.12,563
RNWWW,RNWWW,0.0,0.0,72.73,31960
CELZ,CELZ,1.15,0.48,71.95,261427217
GAUZ,GAUZ,0.42,0.17,69.53,230537701
BRVE,BRVE,29.8,11.8,65.56,3289060
IVDAW,IVDAW,0.03,0.01,62.34,8790
AZI,AZI,1.6,0.59,58.42,69456998
TLSIW,TLSIW,1.53,0.54,54.55,14028
ZTG,ZTG,10.05,3.25,47.79,2293392
WLDS,WLDS,4.24,1.35,46.71,8059920
