symbol,name,price,change,volume
LIMN,LIMN,0.15,0.03,569355677
BITO,BITO,8.71,-0.09,552969819
SNDQ,SNDQ,3.9,0.78,227018993
AAL,AAL,15.6,-0.03,190811548
NU,NU,13.8,-0.08,181055840
ATAI,ATAI,7.15,1.79,165561594
EOSER,EOSER,0.03,-0.0,156508784
OPEN,OPEN,4.57,-0.18,143769052
NOK,NOK,10.37,-0.88,142224228
IQST,IQST,1.22,0.34,136861387
TGHL,TGHL,1.52,0.71,136451451
NVDA,NVDA,207.4,-5.1,120724916
SNXX,SNXX,14.41,-4.89,114946847
ONDS,ONDS,6.65,-0.4,108296190
INTC,INTC,96.98,-6.01,105848527
DRAM,DRAM,52.4,-5.0,96897204
PATH,PATH,12.05,0.1,96067703
NVD,NVD,4.75,0.2,84194827
T,T,22.0,0.57,83968445
MSTU,MSTU,1.84,-0.14,77796391
