symbol,name,price,change,volume
WETO,WETO,0.09,0.06,1460322843
LBGJ,LBGJ,0.02,0.0,921639336
MGRX,MGRX,0.56,0.26,506830479
ZBAO,ZBAO,0.2,0.03,375855424
ONFO,ONFO,0.08,-0.01,296064362
KWM,KWM,0.08,0.01,244733017
FMFC,FMFC,0.52,0.31,187740937
SNXX,SNXX,9.34,-1.14,170470405
CYCU,CYCU,0.89,-0.72,157307233
NVDA,NVDA,200.75,5.71,138629974
AAPL,AAPL,308.91,-24.52,131586471
AMZN,AMZN,271.58,36.08,128363238
MSTU,MSTU,1.75,-0.17,127320316
INTC,INTC,90.2,-0.93,104583194
RITR,RITR,0.06,-0.01,102727825
SOXL,SOXL,114.61,-0.11,100206929
DRAM,DRAM,50.36,-1.98,98988247
VSEE,VSEE,0.08,0.01,98697989
FCUV,FCUV,11.6,9.72,96687471
SOXS,SOXS,54.25,0.33,95357707
