symbol,name,price,change,pct_change,volume
MUA^#,MUA^#,0.01,-0.05,-80.67,62476
YYAI,YYAI,0.29,-0.61,-67.65,27157975
RNWWW,RNWWW,0.0,-0.0,-67.65,10281
XOSWW,XOSWW,0.0,-0.0,-59.18,24267
BIOT,BIOT,0.56,-0.77,-57.89,6174337
ZONE,ZONE,0.32,-0.38,-54.7,27287485
LMNX,LMNX,7.3,-6.8,-48.22,515420
RCKTW,RCKTW,0.0,-0.0,-42.31,8627
NIPG,NIPG,9.01,-6.17,-40.65,12167
BNCWZ,BNCWZ,0.08,-0.05,-38.46,62643
BRLSW,BRLSW,0.03,-0.02,-38.31,13030
MBRX,MBRX,1.36,-0.83,-37.9,1687874
SAIHW,SAIHW,0.03,-0.02,-37.87,172840
LOTWW,LOTWW,0.04,-0.03,-37.14,84207
SLXN,SLXN,1.6,-0.94,-37.01,827471
MTAL+,MTAL+,0.7,-0.38,-35.38,177531
PSN,PSN,40.32,-21.71,-35.0,12048392
DAIC,DAIC,0.66,-0.35,-34.47,269205
VRTL,VRTL,21.26,-11.08,-34.25,1155747
VRC,VRC,12.6,-6.5,-34.04,1388
