symbol,name,price,change,volume
SNXX,SNXX,6.84,-1.2,207492079
SOFI,SOFI,15.23,-1.51,191450879
GSUN,GSUN,0.32,0.13,169545841
INTC,INTC,81.88,-4.42,146568342
NVDA,NVDA,190.01,-7.0,142810376
SOXL,SOXL,92.0,-17.54,139633662
BITO,BITO,8.61,-0.04,137024480
NCRA,NCRA,3.12,1.69,124606460
DRAM,DRAM,44.72,-3.05,119561412
AGRZ,AGRZ,0.34,0.12,115472336
MSTU,MSTU,1.76,-0.12,111103767
F,F,15.28,0.32,97775439
TQQQ,TQQQ,57.75,-3.81,97722426
NOK,NOK,8.39,-0.54,93151709
JBLU,JBLU,5.72,-0.28,89753484
KORU,KORU,12.14,-2.01,86659784
NVD,NVD,5.59,0.37,84118890
DAMD,DAMD,2.25,0.23,80466959
TSLL,TSLL,6.74,-0.41,79075016
T,T,23.95,-0.71,77349696
