symbol,name,price,change,pct_change,volume
NCRA,NCRA,3.12,1.69,118.18,124606460
DFNS,DFNS,50.22,26.22,109.25,17920722
SPRC,SPRC,9.09,3.76,70.54,7732534
AMIX,AMIX,4.57,1.82,66.18,68256589
GSUN,GSUN,0.32,0.13,65.74,169545841
SDSTW,SDSTW,0.15,0.06,65.0,28401
SPWRW,SPWRW,0.06,0.02,59.0,77064
AGRZ,AGRZ,0.34,0.12,54.38,115472336
LNZAW,LNZAW,0.02,0.01,45.99,11000
QSEAR,QSEAR,0.22,0.07,45.7,100
SABSW,SABSW,0.01,0.0,45.26,39238
IVDAW,IVDAW,0.02,0.01,42.21,16240
HURN,HURN,170.37,49.0,40.37,1445493
QUMSR,QUMSR,0.17,0.05,38.78,1360
RMSGW,RMSGW,0.03,0.01,36.36,1283
SBXD+,SBXD+,0.16,0.04,33.72,264
MWYN,MWYN,0.65,0.16,32.63,2600165
STFS,STFS,4.78,1.15,31.68,15665817
TRAD^,TRAD^,0.29,0.07,31.58,12784
LVWR,LVWR,2.54,0.59,30.26,10430072
