symbol,name,price,change,volume
CYCU,CYCU,1.61,1.34,579683799
SXTC,SXTC,0.07,0.02,525974808
GCTK,GCTK,0.78,0.49,332129670
SNXX,SNXX,10.46,3.56,187563233
INTC,INTC,91.13,9.25,135877014
NVDA,NVDA,195.04,5.03,126949018
DRAM,DRAM,52.0,7.15,125073024
VSEE,VSEE,0.07,-0.0,119828278
NUWE,NUWE,4.45,2.56,114993519
MSFT,MSFT,451.1,60.56,109353919
NOK,NOK,9.07,0.67,105925462
SOXL,SOXL,115.04,23.05,102541646
AMZN,AMZN,235.5,8.85,90160611
TSLL,TSLL,7.21,0.47,85434378
LBGJ,LBGJ,0.02,-0.01,84537893
SOFI,SOFI,16.47,1.22,81830578
MUU,MUU,26.97,7.34,81673745
MSTU,MSTU,1.93,0.15,81046000
CISS,CISS,0.14,0.0,79558448
SOXS,SOXS,53.98,-19.17,79211210
