symbol,name,price,change,pct_change,volume
DLXY,DLXY,2.29,1.88,451.81,231660397
MEDS,MEDS,6.07,4.45,274.69,185803631
SNYR,SNYR,0.27,0.19,233.41,1053538576
QCLS,QCLS,0.96,0.52,118.45,233957283
SHFSW,SHFSW,0.01,0.01,93.1,1837724
AEHL,AEHL,9.22,4.06,78.68,4365914
ZTG,ZTG,1.18,0.51,75.33,101240982
PDSB,PDSB,0.99,0.41,69.25,192652039
TPST,TPST,1.21,0.45,60.18,101271152
SWAGW,SWAGW,0.0,0.0,50.0,720
NMCO^,NMCO^,0.01,0.0,44.44,1030779
SLND+,SLND+,0.02,0.01,44.0,22173
FEAM,FEAM,1.76,0.5,39.68,2437615
HCWC,HCWC,14.06,4.0,39.67,504442
NAMI,NAMI,3.12,0.84,36.84,18914990
MKDWW,MKDWW,0.01,0.0,36.14,100
BENF,BENF,0.82,0.22,36.06,162074787
WTGUR,WTGUR,0.15,0.04,35.18,24511
AMPGZ,AMPGZ,0.18,0.05,34.05,1532
ACGCW,ACGCW,0.4,0.1,33.33,2402153
