symbol,name,price,change,volume
SNYR,SNYR,0.27,0.19,1053538576
QCLS,QCLS,0.96,0.52,233957283
DLXY,DLXY,2.29,1.88,231660397
PDSB,PDSB,0.99,0.41,192652039
MEDS,MEDS,6.07,4.45,185803631
MGN,MGN,0.13,0.0,181303074
CTNT,CTNT,0.04,-0.02,179488301
BENF,BENF,0.82,0.22,162074787
DVLT,DVLT,0.18,0.02,160534671
RETO,RETO,1.84,-0.96,138228834
AAL,AAL,12.7,-0.07,137445918
NOK,NOK,10.14,0.3,128524248
ZBAO,ZBAO,0.11,0.01,125025370
INTC,INTC,101.05,3.91,117511551
SPCX,SPCX,150.88,7.39,107633983
NVD,NVD,4.15,-0.07,104400670
TPST,TPST,1.21,0.45,101271152
ZTG,ZTG,1.18,0.51,101240982
NU,NU,13.8,-0.39,98165174
NVDA,NVDA,213.9,1.73,95293966
