symbol,name,price,change,pct_change,volume
RNWWW,RNWWW,0.0,0.0,209.09,9367
STKH,STKH,3.6,2.25,166.67,31495247
XOSWW,XOSWW,0.0,0.0,122.73,201021
EGG,EGG,3.81,1.76,85.85,20253212
DFNS,DFNS,24.0,10.9,83.21,27553192
TONT+,TONT+,0.58,0.25,75.68,4983
OXBRW,OXBRW,0.15,0.06,74.88,1266
NRSNW,NRSNW,0.1,0.04,66.67,3868
CISS,CISS,0.17,0.06,63.09,398335866
INLF,INLF,5.3,2.02,61.59,32420266
KTTAW,KTTAW,0.01,0.0,61.02,302
VLOSW,VLOSW,0.45,0.16,55.76,47987
BZFDW,BZFDW,0.02,0.01,55.04,89645
BIYA,BIYA,6.44,2.27,54.44,29817705
KVACW,KVACW,0.03,0.01,49.0,45381
BNCWZ,BNCWZ,0.13,0.04,43.33,4387
CNET,CNET,1.41,0.41,41.0,3188114
NCPLW,NCPLW,0.02,0.01,39.49,3900
DSYWW,DSYWW,0.02,0.0,36.36,25802
GIPRW,GIPRW,0.03,0.01,35.19,252
