symbol,name,price,change,volume
CISS,CISS,0.17,0.06,398335866
ONFO,ONFO,0.11,0.01,228094274
GOSS,GOSS,0.21,0.01,203024602
BITO,BITO,8.64,-0.14,160271199
SNXX,SNXX,8.0,-3.25,157879356
INTC,INTC,86.3,-5.37,148842401
NVDA,NVDA,197.01,0.5,132183929
SOXL,SOXL,109.42,-18.73,118576037
NVD,NVD,5.22,-0.03,108795998
NOK,NOK,8.9,-0.33,107762606
MSTU,MSTU,1.88,-0.1,107614148
CHAI,CHAI,0.47,0.08,107064151
LBGJ,LBGJ,0.03,0.0,103479294
OMH,OMH,0.15,0.0,92209457
AAL,AAL,15.36,0.41,86205080
JBLU,JBLU,6.0,0.57,85904465
TSLL,TSLL,7.15,-0.09,83867551
PLUG,PLUG,1.96,-0.1,82211724
DRAM,DRAM,47.7,-4.73,82092425
SOFI,SOFI,16.74,-0.14,81412214
