symbol,name,price,change,volume
ZBAO,ZBAO,0.26,0.08,479580409
BITO,BITO,8.93,-0.08,363256909
T,T,23.05,0.79,187186007
ONDS,ONDS,8.0,0.34,172499673
SMCI,SMCI,30.56,5.06,161708026
NVDA,NVDA,212.06,4.77,135111569
ZCMD,ZCMD,4.29,2.82,125539863
LBGJ,LBGJ,0.03,-0.03,125511600
AAL,AAL,14.79,-0.49,118240493
NVD,NVD,4.54,-0.22,111658152
CHAI,CHAI,0.5,0.11,108302440
MSTU,MSTU,2.06,-0.09,105791425
PATH,PATH,10.71,-1.33,105587065
OPEN,OPEN,4.38,-0.1,95315852
NU,NU,14.51,0.12,94322514
SPCX,SPCX,115.26,-8.28,90223221
NOK,NOK,10.3,-0.33,89801321
SOFI,SOFI,17.07,-0.57,89761687
LABT,LABT,3.41,1.55,78416237
INTC,INTC,102.62,-2.83,76815228
