symbol,name,price,change,pct_change,volume
WETO,WETO,0.14,-0.69,-83.1,62768364
CPHI,CPHI,1.8,-6.29,-77.72,13616458
MVSTW,MVSTW,0.0,-0.0,-72.73,1293340
FACTW,FACTW,0.18,-0.28,-60.63,120400
OMH,OMH,0.36,-0.45,-55.22,9978468
ZYBT,ZYBT,1.38,-1.47,-51.58,3541920
STFS,STFS,3.75,-3.56,-48.7,97192
SGRP,SGRP,0.29,-0.22,-43.64,3337625
LBGJ,LBGJ,0.03,-0.03,-42.4,125511600
AIMDW,AIMDW,0.08,-0.05,-40.76,4425
SMCZ,SMCZ,6.62,-4.39,-39.87,15860879
SLXNW,SLXNW,0.03,-0.02,-39.24,3279
ATER,ATER,0.64,-0.39,-37.78,803626
VIVK,VIVK,1.63,-0.95,-36.82,4833955
SCAGW,SCAGW,0.03,-0.01,-35.4,43128
BGLWW,BGLWW,0.04,-0.02,-34.32,40537
ALISR,ALISR,0.5,-0.26,-33.89,4940
JZXN,JZXN,1.28,-0.65,-33.68,1619853
SWVLW,SWVLW,0.01,-0.0,-33.33,7915
HUBCZ,HUBCZ,0.01,-0.0,-29.49,14142
