symbol,name,price,change,pct_change,volume
RCKTW,RCKTW,0.0,0.0,950.0,2781111
MSAIW,MSAIW,0.03,0.02,137.69,210578
HUBCZ,HUBCZ,0.02,0.01,111.11,81715
KTTAW,KTTAW,0.01,0.0,103.7,10900
VIOT,VIOT,1.78,0.81,83.64,51101629
DSX+,DSX+,1.05,0.42,68.0,369959
SLDPW,SLDPW,0.03,0.01,56.32,42057
BCTXZ,BCTXZ,0.25,0.08,50.97,27205
BIAF,BIAF,9.75,3.16,47.95,45063753
KITTW,KITTW,0.02,0.01,47.69,72082
SGLD,SGLD,7.23,2.21,44.02,8966978
MRNOW,MRNOW,0.01,0.0,41.54,550
OABIW,OABIW,0.35,0.1,40.0,120932
EO,EO,7.33,2.09,39.81,9675
EOSU,EOSU,6.75,1.87,38.32,718414
APXTW,APXTW,0.4,0.11,37.93,2400
BIAFW,BIAFW,0.22,0.06,37.56,119875
GPRO,GPRO,1.69,0.46,37.4,235362156
LHAI,LHAI,1.1,0.29,35.77,90609949
DAAQW,DAAQW,0.19,0.05,35.64,1293
