symbol,name,price,change,volume
FAMI,FAMI,0.15,0.03,850222438
GPRO,GPRO,1.69,0.46,235362156
RITR,RITR,0.1,0.01,163433179
NVDA,NVDA,224.41,6.97,152856670
NVD,NVD,3.79,-0.26,125544402
MGN,MGN,0.13,0.01,124279577
PCG,PCG,13.32,-0.73,118494102
GPUS,GPUS,0.2,-0.04,106808525
LHAI,LHAI,1.1,0.29,90609949
TSLL,TSLL,9.37,0.04,87500484
NU,NU,15.39,0.94,80740875
ONDS,ONDS,7.61,0.57,78132348
VIVK,VIVK,0.9,0.12,78093969
PPBT,PPBT,1.98,0.32,76096374
EOSE,EOSE,3.61,0.57,73449465
NIO,NIO,3.85,-0.2,71815170
BITO,BITO,10.4,0.03,65427116
SNXX,SNXX,14.01,0.29,65202889
PATH,PATH,18.0,-0.14,60459578
F,F,14.14,0.3,56165776
