symbol,name,price,change,pct_change,volume
ZYBT,ZYBT,8.01,7.31,1047.56,146433590
RNWWW,RNWWW,0.0,0.0,80.0,19558
ADVB,ADVB,8.9,3.8,74.51,45710202
WGSWW,WGSWW,0.0,0.0,71.43,28825
OGGWZ,OGGWZ,0.13,0.04,49.94,11592
IVDAW,IVDAW,0.03,0.01,48.7,162
LTRYW,LTRYW,0.01,0.0,47.14,209421
IREC,IREC,26.04,7.76,42.44,3770
VEEAW,VEEAW,0.06,0.02,41.46,5272
IREG,IREG,9.23,2.63,39.85,1678631
BEATW,BEATW,0.03,0.01,39.57,6628
IRE,IRE,11.7,3.31,39.39,13643065
IREX,IREX,16.38,4.61,39.17,1924351
ARCX,ARCX,12.73,3.54,38.44,158994
KTTAW,KTTAW,0.01,0.0,38.03,880
ACHX,ACHX,30.16,8.29,37.91,1764
GMM,GMM,3.51,0.95,37.11,26426271
LCCCR,LCCCR,0.22,0.06,37.09,400
BDMDW,BDMDW,0.06,0.01,36.36,15229
ACHR+,ACHR+,0.05,0.01,36.23,1670984
