symbol,name,price,change,pct_change,volume
SORNW,SORNW,0.57,0.32,127.38,28
GTERW,GTERW,0.1,0.05,90.2,1736
VTAK,VTAK,1.35,0.64,89.42,190108780
ERNAW,ERNAW,0.11,0.05,88.85,1065
QTEXW,QTEXW,0.05,0.02,66.67,3487
RDACR,RDACR,0.14,0.06,65.68,34
ILLRW,ILLRW,0.04,0.02,64.21,48146
NVVE,NVVE,8.49,3.3,63.58,37466725
TVRD,TVRD,5.0,1.9,61.29,37825251
ANSCW,ANSCW,0.16,0.06,59.51,1
GLU-A,GLU-A,78.99,27.49,53.38,7212
WGSWW,WGSWW,0.0,0.0,50.0,1063
BZFDW,BZFDW,0.02,0.01,47.56,5545
BTBDW,BTBDW,0.06,0.02,47.41,206
SRXH,SRXH,1.99,0.64,47.04,56422684
CDTTW,CDTTW,0.02,0.0,44.95,200
FRTT,FRTT,1.3,0.4,43.81,11983044
AMPGR,AMPGR,1.57,0.47,42.73,19788
IOTR,IOTR,3.54,1.03,41.04,24340991
RVSNW,RVSNW,0.02,0.01,36.88,406
