symbol,name,price,change,volume
SOXS,SOXS,4.51,-0.29,829906808
EDBL,EDBL,0.12,0.03,466010923
TZA,TZA,4.08,0.1,338540483
BITO,BITO,8.45,-0.2,273096965
VTAK,VTAK,1.35,0.64,190108780
SNDQ,SNDQ,2.99,-0.47,176981324
AAL,AAL,16.52,-0.68,175735764
NVDA,NVDA,204.12,7.19,145821643
ONFO,ONFO,0.28,-0.11,139329278
BATL,BATL,1.63,-0.15,136629675
RIVN,RIVN,16.66,0.17,110638457
INTC,INTC,110.24,-0.15,103505318
OPEN,OPEN,4.79,0.0,101864876
SOFI,SOFI,17.73,-0.02,89931053
NVD,NVD,4.98,-0.4,81658062
CPOP,CPOP,0.07,-0.03,78292688
AMC,AMC,1.91,0.18,78138935
BIYA,BIYA,0.51,0.1,77379260
TQQQ,TQQQ,72.72,0.49,69551376
DRAM,DRAM,61.94,1.35,68071060
