symbol,name,price,change,pct_change,volume
LHSW,LHSW,1.32,-3.18,-70.67,16591237
FCUV,FCUV,5.91,-11.09,-65.24,1310111
TMCWW,TMCWW,0.0,-0.0,-55.56,1387547
RETO,RETO,0.51,-0.55,-51.89,1763905
DUKRW,DUKRW,0.8,-0.76,-48.71,3006
NCPLW,NCPLW,0.02,-0.02,-46.56,15400
SPWRW,SPWRW,0.02,-0.02,-43.66,701124
BETRW,BETRW,0.09,-0.06,-42.55,874
BIAF,BIAF,8.93,-6.34,-41.52,2368190
ZOOZW,ZOOZW,0.02,-0.01,-40.86,752
HOLOW,HOLOW,0.03,-0.02,-38.35,20883
CAPNR,CAPNR,0.13,-0.08,-38.0,63997
LEXX,LEXX,9.37,-4.78,-33.78,119003
REBN,REBN,0.74,-0.36,-32.88,406549
GSHRW,GSHRW,0.23,-0.11,-32.29,7777
LASE,LASE,0.95,-0.45,-32.06,15884468
SLND+,SLND+,0.01,-0.01,-31.94,33072
JAGX,JAGX,0.41,-0.18,-30.6,945703
GRI,GRI,2.0,-0.88,-30.56,714411
SMZ,SMZ,11.22,-4.84,-30.14,897694
