symbol,name,price,change,volume
PDSB,PDSB,0.3,0.08,480187143
GCDT,GCDT,0.93,0.56,379022211
INTC,INTC,104.47,8.67,138170348
MOBX,MOBX,1.27,0.34,131584489
ATAI,ATAI,7.28,-0.11,119705730
NVDA,NVDA,225.73,-4.63,118378155
NOK,NOK,10.65,0.62,110833860
ARBE,ARBE,0.74,0.11,99618280
GPRO,GPRO,1.46,-0.24,90832311
SPCX,SPCX,153.47,5.52,85161898
TSLL,TSLL,9.87,0.72,83922761
NVD,NVD,3.74,0.14,77661192
PLUG,PLUG,2.26,0.09,76138155
NU,NU,15.33,-0.04,75201227
BITO,BITO,10.54,-0.2,75149887
BNC,BNC,5.25,1.76,69117188
TWG,TWG,0.52,0.08,66843413
PCG,PCG,14.81,0.52,65779104
SNXX,SNXX,17.33,-0.03,64215707
DVLT,DVLT,0.21,0.01,63447436
