symbol,name,price,change,volume
BTTC,BTTC,0.79,0.43,418672889
WBD,WBD,30.8,3.0,233285614
GRML,GRML,9.42,6.57,209372448
INTC,INTC,121.78,13.18,188257022
CTNT,CTNT,0.05,-0.0,181349551
GLND,GLND,2.9,1.7,179189548
LOBO,LOBO,0.7,0.17,155779688
NVDA,NVDA,227.38,5.11,108469025
CYAB,CYAB,0.29,-0.02,99507849
BITO,BITO,11.62,0.7,98855501
VRME,VRME,1.38,0.58,98356634
NCPL,NCPL,1.01,0.27,95398987
SDST,SDST,0.13,0.0,87419212
INV,INV,0.88,0.28,86877902
SOXS,SOXS,35.33,-6.16,83095213
NOK,NOK,10.95,0.27,82887540
DDC,DDC,0.22,-0.02,81187025
SPCX,SPCX,151.85,-0.86,80442735
DVLT,DVLT,0.16,0.01,78834929
NVD,NVD,3.66,-0.18,77367590
