symbol,name,price,change,pct_change,volume
FAMI,FAMI,0.28,-0.94,-77.46,9666682
APLMW,APLMW,0.01,-0.01,-51.03,109307
BJDX,BJDX,1.44,-1.49,-50.85,2688959
EVLVW,EVLVW,0.01,-0.01,-47.24,46505
TE+,TE+,0.17,-0.14,-45.34,1561894
SBXD+,SBXD+,0.11,-0.08,-44.21,5972
ASTN,ASTN,4.02,-2.98,-42.57,10612567
JEM,JEM,1.08,-0.78,-41.94,6395829
EVMN,EVMN,15.04,-10.14,-40.27,10398060
NCPLW,NCPLW,0.02,-0.01,-38.46,1166
CBRZ,CBRZ,17.84,-10.97,-38.07,490471
RSVRW,RSVRW,0.09,-0.05,-35.57,1365
IVDAW,IVDAW,0.03,-0.01,-34.42,18121
CHARR,CHARR,0.08,-0.04,-32.67,221
CELZ,CELZ,0.81,-0.39,-32.48,1266618
RKLZ,RKLZ,2.72,-1.29,-32.17,33552985
EHGO,EHGO,2.67,-1.2,-31.01,576881
BFRIW,BFRIW,0.02,-0.01,-29.62,18883
SBFMW,SBFMW,0.04,-0.02,-29.41,1087
MTNE+,MTNE+,0.33,-0.13,-28.26,47464
