symbol,name,price,change,volume
INLF,INLF,0.07,0.02,1044681087
SOXS,SOXS,3.71,-0.53,767609828
TZA,TZA,3.85,-0.04,334915566
TNMG,TNMG,1.01,0.52,312659381
BITO,BITO,8.2,0.07,252617250
CAG,CAG,13.97,-0.1,158294272
NVDA,NVDA,194.97,2.44,146601541
CMCSA,CMCSA,24.22,1.05,133889113
SOAR,SOAR,0.18,0.02,127920576
AAL,AAL,17.92,0.05,120162691
MSTU,MSTU,1.85,0.38,114462267
GPUS,GPUS,0.16,-0.01,112480118
SRFM,SRFM,0.9,-0.0,106666908
INTC,INTC,131.72,3.4,105060876
NNBR,NNBR,3.62,0.86,96273948
NOK,NOK,13.02,0.01,96214614
SMCI,SMCI,28.15,-2.48,89788495
SNDQ,SNDQ,2.48,0.09,86564568
T,T,21.79,-0.93,84742476
TSLL,TSLL,13.64,2.02,79921166
