symbol,name,price,change,pct_change,volume
UPC,UPC,12.18,9.22,311.49,54185278
EVGOW,EVGOW,0.01,0.01,129.63,1601971
TNMG,TNMG,1.01,0.52,106.97,312659381
KWMWW,KWMWW,0.02,0.01,87.78,73212
OIOWW,OIOWW,0.07,0.03,87.17,2
BNCWZ,BNCWZ,0.05,0.02,86.57,16937
BKSY+,BKSY+,0.05,0.02,68.92,322701
SDOT,SDOT,35.85,14.4,67.13,9600609
HUBCZ,HUBCZ,0.02,0.01,64.62,26804
DCOY,DCOY,9.59,3.68,62.27,12669215
GWH+,GWH+,0.01,0.0,60.66,230848
DGNX,DGNX,1.4,0.52,58.51,47702265
RNWWW,RNWWW,0.0,0.0,57.14,134248
AZI,AZI,2.91,1.05,56.45,45102999
LVWR+,LVWR+,0.03,0.01,56.25,494044
XOSWW,XOSWW,0.0,0.0,51.61,194965
AACPR,AACPR,0.21,0.07,50.0,325
OPENL,OPENL,0.33,0.11,49.05,2699703
NRSNW,NRSNW,0.13,0.04,42.95,58
ASTY,ASTY,14.52,4.36,42.91,514170
