symbol,name,price,change,volume
INLF,INLF,0.05,0.02,2204488039
SOXS,SOXS,4.24,0.61,674267921
GDC,GDC,0.01,-0.0,473682340
TZA,TZA,3.9,0.04,370995560
RCT,RCT,0.36,0.07,265115799
AAPL,AAPL,283.78,8.63,255581305
AMZN,AMZN,232.69,5.68,241167287
BITO,BITO,8.12,0.06,232527204
MSFT,MSFT,372.97,20.14,181043973
OPEN,OPEN,4.37,0.07,168034170
CDE,CDE,16.04,0.05,165496321
NVDA,NVDA,192.53,-3.21,163817382
AAL,AAL,17.87,0.3,160273082
NOK,NOK,13.0,-0.98,142187803
HKIT,HKIT,0.28,0.06,127079828
SPCX,SPCX,153.23,0.23,125242807
ONDS,ONDS,7.83,0.15,121639628
KEEL,KEEL,6.03,0.16,121012745
IVF,IVF,2.45,1.21,113007063
GOOGL,GOOGL,337.39,-6.32,110933953
