symbol,name,price,change,pct_change,volume
SXTC,SXTC,0.06,-0.27,-80.82,225122710
CCIXW,CCIXW,0.01,-0.01,-54.88,278767
CISS,CISS,0.52,-0.44,-45.94,1472980
VSTD,VSTD,0.1,-0.08,-45.22,2462871
GIPRW,GIPRW,0.02,-0.02,-44.26,50
RBNE,RBNE,3.2,-2.48,-43.66,823415
QSEAR,QSEAR,0.15,-0.1,-39.96,232
FFAI,FFAI,6.49,-4.26,-39.65,1092310
GSUN,GSUN,0.21,-0.14,-39.6,129498154
LIMNW,LIMNW,0.05,-0.03,-39.31,2520
BEATW,BEATW,0.02,-0.01,-39.02,40292
CRGOW,CRGOW,0.04,-0.02,-38.27,153509
VTAK,VTAK,0.25,-0.16,-38.14,4509774
JOBY+,JOBY+,0.03,-0.02,-38.08,790177
COPL+,COPL+,0.08,-0.05,-36.89,124
DBGI,DBGI,12.9,-7.14,-35.63,112093
BAOS,BAOS,1.14,-0.57,-33.33,77839
YMT,YMT,0.29,-0.13,-30.66,5927803
NBIL,NBIL,22.26,-9.61,-30.15,4203270
NBIG,NBIG,15.45,-6.65,-30.09,3313227
