symbol,name,price,change,volume
OMH,OMH,0.5,0.08,242916231
SXTC,SXTC,0.06,-0.27,225122710
INTC,INTC,92.32,-7.91,179123255
BITO,BITO,8.7,-0.07,158745451
GSUN,GSUN,0.21,-0.14,129498154
LBGJ,LBGJ,0.03,-0.0,125326412
NOK,NOK,9.06,-0.67,117455449
TSLL,TSLL,7.42,-0.34,116037562
NVDA,NVDA,206.84,-1.92,114162400
VIVK,VIVK,2.91,0.79,105755916
LVWR,LVWR,1.44,0.67,103607076
ONDS,ONDS,7.8,-0.13,100891118
NVD,NVD,4.77,0.09,100140635
SOFI,SOFI,16.46,-0.19,92650344
NU,NU,14.09,-0.1,90850517
DAMD,DAMD,1.58,0.09,83733160
SNXX,SNXX,14.36,-3.96,83301294
MSTU,MSTU,1.73,-0.07,80929335
T,T,24.11,1.16,80576870
F,F,14.35,0.2,76456867
