symbol,name,price,change,pct_change,volume
STAK,STAK,9.27,7.95,602.27,58942129
ASTLW,ASTLW,0.02,0.01,318.42,2165
NVNIW,NVNIW,0.04,0.02,89.55,801
LVWR,LVWR,1.44,0.67,87.01,103607076
SWAGW,SWAGW,0.03,0.01,78.15,416
LVWR+,LVWR+,0.02,0.01,74.81,1486184
BGLWW,BGLWW,0.08,0.03,59.2,998
WLDS,WLDS,3.53,1.3,58.3,28122825
SCTX,SCTX,21.65,6.65,44.33,979306
NIPG,NIPG,15.05,4.52,42.92,110097
RSVRW,RSVRW,0.02,0.01,42.86,200
SAFT,SAFT,103.2,30.26,41.49,1644032
DFLIW,DFLIW,0.05,0.01,41.43,3249
NTWOW,NTWOW,0.29,0.08,38.3,3
LNZAW,LNZAW,0.02,0.01,38.0,20238
VIVK,VIVK,2.91,0.79,37.26,105755916
SBCWW,SBCWW,0.26,0.07,36.48,15591
JEM,JEM,6.35,1.61,33.97,15580619
YYAI,YYAI,11.32,2.75,31.99,87889
RNWWW,RNWWW,0.0,0.0,30.77,39990
