symbol,name,price,change,volume
RITR,RITR,0.12,0.03,342076088
GIPR,GIPR,0.75,0.45,265210329
LUCY,LUCY,1.12,0.44,186676030
BTCT,BTCT,1.74,0.6,179051221
NVDA,NVDA,208.48,-6.24,131651811
BITO,BITO,10.62,0.21,119431884
VBIO,VBIO,0.17,0.04,107347438
INTC,INTC,87.26,-2.81,95305698
IBIT,IBIT,44.64,0.96,94976791
SNXX,SNXX,13.03,-1.99,92678663
TSLL,TSLL,9.04,-0.73,88688329
XPON,XPON,6.2,2.77,85147781
DAIC,DAIC,1.73,1.3,76957745
PLUG,PLUG,2.17,-0.1,76722266
LGCL,LGCL,0.05,-0.01,74815195
SOXL,SOXL,111.19,-9.41,66195485
BMNR,BMNR,24.15,1.32,65840210
ETHA,ETHA,18.66,0.42,64689896
NVD,NVD,4.57,0.26,64290205
MARA,MARA,11.18,-0.08,61057851
