symbol,name,price,change,pct_change,volume
DAIC,DAIC,1.73,1.3,306.1,76957745
DAICW,DAICW,0.01,0.01,300.0,2113781
GIPR,GIPR,0.75,0.45,150.67,265210329
GIPRW,GIPRW,0.05,0.03,131.76,56901
SCAGW,SCAGW,0.02,0.01,89.52,7167
XPON,XPON,6.2,2.77,80.49,85147781
SDOT,SDOT,23.16,9.98,75.72,29881293
LUCY,LUCY,1.12,0.44,63.79,186676030
PMI,PMI,5.21,2.0,62.31,21257079
OSRHW,OSRHW,0.04,0.02,60.71,355
FVNNU,FVNNU,19.0,6.74,54.98,1075
BTCT,BTCT,1.74,0.6,52.63,179051221
FVN,FVN,19.84,6.84,52.62,291228
WLDSW,WLDSW,17.66,5.66,47.17,1
GDEVW,GDEVW,0.0,0.0,45.0,39560
NPACW,NPACW,0.25,0.08,43.1,16270
RITR,RITR,0.12,0.03,38.22,342076088
ALVOW,ALVOW,0.3,0.08,35.85,1347
VBIO,VBIO,0.17,0.04,35.4,107347438
ARQQW,ARQQW,0.01,0.0,35.29,376126
