symbol,name,price,change,pct_change,volume
YHC,YHC,0.08,-0.85,-91.51,361610987
TC,TC,1.85,-6.13,-76.82,1784623
VTGN,VTGN,0.23,-0.53,-70.26,42987520
QTEXW,QTEXW,0.01,-0.02,-68.75,69928
SOC,SOC,3.08,-3.89,-55.81,95334249
EHGO,EHGO,1.3,-1.37,-51.31,2337669
UPC,UPC,6.1,-6.08,-49.92,1277103
NIXXW,NIXXW,0.01,-0.01,-49.59,1646
GWH+,GWH+,0.01,-0.0,-43.88,197857
EVGOW,EVGOW,0.01,-0.01,-42.74,1626342
RDACR,RDACR,0.07,-0.05,-41.72,150
UNCY,UNCY,4.69,-3.01,-39.09,19516796
TNMG,TNMG,0.65,-0.36,-35.69,8527906
NVCT,NVCT,18.39,-10.14,-35.54,3135260
ERNAW,ERNAW,0.07,-0.04,-35.12,256
CCUP,CCUP,1.48,-0.8,-35.09,15175464
CRCA,CRCA,12.79,-6.91,-35.07,3993464
CRCG,CRCG,8.62,-4.62,-34.89,6820119
WZRD,WZRD,3.0,-1.6,-34.82,7050
NRSNW,NRSNW,0.08,-0.04,-34.59,712
