symbol,name,price,change,volume
SOXS,SOXS,3.25,-0.47,571087123
BIYA,BIYA,0.56,0.28,395785666
YHC,YHC,0.08,-0.85,361610987
INLF,INLF,0.06,-0.01,335152370
EDBL,EDBL,0.19,0.03,334840566
TZA,TZA,3.79,-0.06,230976413
BITO,BITO,7.97,-0.21,186427252
CELZ,CELZ,1.45,0.64,185684022
NVDA,NVDA,200.09,5.12,162508907
AAL,AAL,18.07,0.15,157832456
T,T,20.68,-1.14,126621998
INTC,INTC,139.63,7.91,114825747
GPUS,GPUS,0.14,-0.02,105778776
INTZ,INTZ,0.93,0.25,104450670
JEM,JEM,3.97,2.89,103826282
MSTU,MSTU,1.61,-0.23,101492550
SOC,SOC,3.08,-3.89,95334249
QXO,QXO,17.34,-0.48,87169925
ONDS,ONDS,8.24,0.22,80861995
OPEN,OPEN,4.62,0.02,80603866
