symbol,name,price,change,volume
SOXS,SOXS,4.82,0.65,673097846
BITO,BITO,8.65,0.01,402673594
CPOP,CPOP,0.1,0.01,402638455
TZA,TZA,3.96,0.1,281371137
CCHH,CCHH,0.35,-0.1,150346238
INTC,INTC,110.39,-11.81,137750791
AAL,AAL,17.2,-0.55,134349128
SNDQ,SNDQ,3.46,0.44,131333465
NVDA,NVDA,196.93,1.38,122602878
YHC,YHC,0.04,0.0,111832460
RIVN,RIVN,16.49,-3.65,89829136
BJDX,BJDX,1.45,0.29,89048241
OPEN,OPEN,4.79,-0.3,87127358
SKIN,SKIN,1.11,0.36,86634899
SNXX,SNXX,20.29,-3.39,84687479
MSTU,MSTU,2.0,-0.15,84244780
SUGP,SUGP,0.77,-0.06,82981481
CLRO,CLRO,13.84,6.84,81731391
CRNX,CRNX,83.53,41.5,80720990
SPCX,SPCX,149.47,-10.95,78353924
