symbol,name,price,change,pct_change,volume
NXTT,NXTT,0.11,-0.32,-73.3,71359949
ANSCW,ANSCW,0.0,-0.0,-66.67,106471
RNWWW,RNWWW,0.0,-0.0,-65.71,29203
PLTZ,PLTZ,11.87,-16.88,-58.71,14450016
RITR,RITR,0.15,-0.2,-57.26,48644794
FOXXW,FOXXW,0.04,-0.04,-52.93,65002
NEXRW,NEXRW,0.01,-0.01,-50.59,187649
ONFOW,ONFOW,0.01,-0.01,-47.5,96846
RCKTW,RCKTW,0.0,-0.0,-43.75,69266
BIAFW,BIAFW,0.06,-0.04,-40.66,4093
FWACW,FWACW,0.03,-0.02,-40.0,143037
JENA^,JENA^,0.12,-0.08,-40.0,5891
AAOZ,AAOZ,11.88,-7.6,-39.01,3303357
XBPEW,XBPEW,0.04,-0.02,-38.21,2400
AHCO,AHCO,6.7,-4.13,-38.09,18894953
BETR,BETR,17.27,-10.03,-36.74,4012351
DSYWW,DSYWW,0.01,-0.01,-35.75,22096
ESLAW,ESLAW,0.06,-0.03,-35.34,1507
GYGY,GYGY,3.95,-2.06,-34.28,303288
APMCR,APMCR,0.1,-0.05,-33.33,5500
