symbol,name,price,change,volume
ADGM,ADGM,0.8,0.34,469954241
ELPW,ELPW,0.16,0.05,428789398
TNMG,TNMG,0.48,0.12,240930596
ENSC,ENSC,0.38,0.1,178942244
PLTR,PLTR,162.66,37.01,172029633
SXTC,SXTC,0.12,0.05,135687897
NVDA,NVDA,211.94,5.3,128424111
SPCX,SPCX,125.33,10.8,121597057
QNME,QNME,0.69,0.38,120715142
INTC,INTC,100.86,9.86,117189663
VTGN,VTGN,0.3,0.06,116138044
AMIX,AMIX,19.5,15.85,115027266
YYAI,YYAI,0.12,0.0,111153800
MSTU,MSTU,1.91,0.1,104572186
TSLL,TSLL,8.07,0.26,103491112
GRAB,GRAB,3.72,0.05,100280694
SNXX,SNXX,12.74,2.31,98558816
NOK,NOK,9.93,0.57,97371174
SNAP,SNAP,5.79,0.75,88323407
SOXS,SOXS,42.41,-10.67,76570133
