symbol,name,price,change,volume
OSRH,OSRH,0.59,0.27,362948363
SNYR,SNYR,0.15,0.06,186303569
TSLL,TSLL,8.61,-0.15,118979356
MSTU,MSTU,1.89,0.17,118581286
SPCX,SPCX,146.23,6.23,115717561
IVF,IVF,1.53,0.56,114070518
AGRZ,AGRZ,0.27,0.02,108595577
SNXX,SNXX,19.06,2.87,107889952
IPST,IPST,7.39,5.19,100777954
NVDA,NVDA,225.01,-0.15,90608021
UCL,UCL,0.68,-0.04,90293536
NOK,NOK,10.8,0.04,88768696
INTC,INTC,103.49,0.99,86448013
WFF,WFF,2.02,0.58,80839594
OTLK,OTLK,0.67,-0.08,79904436
BITO,BITO,8.68,0.18,76681692
NU,NU,14.74,-0.49,75674793
RCON,RCON,0.02,-0.0,74067431
PATH,PATH,16.0,-0.01,72110089
ONDS,ONDS,9.0,-0.24,69256721
