symbol,name,price,change,volume
IPDN,IPDN,0.14,0.02,494122475
SNYR,SNYR,0.11,0.03,283386378
AEON,AEON,0.3,0.07,198126683
TNON,TNON,5.3,2.86,120000889
SLXN,SLXN,0.42,0.08,117870579
SPCX,SPCX,148.18,0.63,116050102
NVDA,NVDA,218.36,-5.06,100595453
INTC,INTC,100.32,-5.92,95427213
GPRO,GPRO,1.4,-0.01,87446924
NVD,NVD,3.98,0.17,79889132
GRAB,GRAB,3.01,-0.03,77913272
NU,NU,15.02,0.02,75914677
AAPL,AAPL,326.57,11.23,69360056
KVUE,KVUE,17.79,0.04,64356615
NOK,NOK,10.61,-0.15,64314424
PATH,PATH,13.88,0.31,64261291
BITO,BITO,10.37,-0.14,64013568
AAL,AAL,12.85,-0.09,62098781
TLT,TLT,80.78,-0.95,59503263
HKPD,HKPD,0.12,-0.01,55825585
