symbol,name,price,change,volume
MDXH,MDXH,0.81,0.35,322502355
SURG,SURG,0.28,0.04,286669856
VBIO,VBIO,0.19,0.02,168285508
NU,NU,15.0,1.07,156210867
SNXX,SNXX,16.19,2.1,152365267
TSLL,TSLL,8.76,0.12,137434507
OTLK,OTLK,0.76,-0.13,104319796
ONDS,ONDS,9.24,0.33,96102772
SPCX,SPCX,140.0,-1.29,95007082
INTC,INTC,102.5,-2.06,94309113
MSTU,MSTU,1.71,-0.17,91589921
ONFO,ONFO,2.59,0.28,83938634
NVDA,NVDA,225.16,-0.14,75162540
CYCU,CYCU,0.69,-0.01,75154083
NOK,NOK,10.77,0.21,68155917
CAPR,CAPR,6.65,2.44,65589196
DRAM,DRAM,57.32,0.39,64535161
GPUS,GPUS,0.09,-0.02,62970938
SMCI,SMCI,39.84,0.68,61408692
WETO,WETO,8.22,4.61,58226265
